Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,facebook,34,0,170.0,176.28371555859783,121.078967997164,310.53346899716416,81840.64705882352,0.8055982000233376,0.0,170,180,200,210,230,230,310,310,310,310,310
GET,google,41,0,160.0,191.10115785375322,42.981669001164846,1385.0322409998626,14917.707317073171,0.9714566529693188,0.0,160,170,180,180,310,380,1400,1400,1400,1400,1400
GET,microsoft,46,0,200.0,262.2443721743564,150.04453300207388,775.9084650024306,210582.60869565216,1.0899269765021626,0.0,200,270,320,340,410,510,780,780,780,780,780
,Aggregated,121,0,180.0,213.98375967782317,42.981669001164846,1385.0322409998626,108107.5041322314,2.866981829494819,0.0,180,200,220,260,340,410,780,1200,1400,1400,1400
