Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637256113,6,GET,facebook,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,191.87292300193803,191.87292300193803,191.87292300193803,191.87292300193803,81845.0
1637256113,6,GET,google,0.333333,0.000000,83,83,83,83,83,83,83,83,83,83,83,2,0,74.11796399537707,78.56374699622393,74.11796399537707,83.00952999707079,14920.5
1637256113,6,GET,microsoft,0.333333,0.000000,370,370,420,420,420,420,420,420,420,420,420,5,0,270.0,280.85134660213953,156.6986990001169,417.90306500479346,210977.4
1637256113,6,,Aggregated,0.666667,0.000000,190,270,370,370,420,420,420,420,420,420,420,8,0,180.0,219.15714375063544,74.11796399537707,417.90306500479346,145821.625
1637256114,7,GET,facebook,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,2,0,180.0,185.3579710041231,178.84301900630817,191.87292300193803,81841.5
1637256114,7,GET,google,0.250000,0.000000,83,83,83,83,83,83,83,83,83,83,83,2,0,74.11796399537707,78.56374699622393,74.11796399537707,83.00952999707079,14920.5
1637256114,7,GET,microsoft,0.750000,0.000000,370,370,420,420,720,720,720,720,720,720,720,7,0,270.0,334.3276844305884,156.6986990001169,724.4907339991187,210984.42857142858
1637256114,7,,Aggregated,1.000000,0.000000,190,270,370,370,420,720,720,720,720,720,720,11,0,190.0,260.73974791043753,74.11796399537707,724.4907339991187,151855.9090909091
1637256115,8,GET,facebook,0.166667,0.000000,190,190,230,230,230,230,230,230,230,230,230,3,0,190.0,198.65838400194966,178.84301900630817,225.25920999760274,81842.66666666667
1637256115,8,GET,google,0.333333,0.000000,74,74,83,83,83,83,83,83,83,83,83,3,0,74,75.88661166422146,70.53234100021655,83.00952999707079,14920.333333333334
1637256115,8,GET,microsoft,0.833333,0.000000,210,370,420,420,720,720,720,720,720,720,720,8,0,210.0,315.7258940018437,156.6986990001169,724.4907339991187,210983.5
1637256115,8,,Aggregated,1.333333,0.000000,190,230,270,370,420,720,720,720,720,720,720,14,0,190.0,239.24586707237592,70.53234100021655,724.4907339991187,141296.92857142858
1637256116,9,GET,facebook,0.166667,0.000000,230,230,230,230,230,230,230,230,230,230,230,4,0,190.0,205.76436825103883,178.84301900630817,227.0823209983064,81841.5
1637256116,9,GET,google,0.333333,0.000000,79,79,82,82,83,83,83,83,83,83,83,6,0,74,72.20013699892054,45.200683001894504,83.00952999707079,14921.0
1637256116,9,GET,microsoft,0.833333,0.000000,210,370,420,420,720,720,720,720,720,720,720,8,0,210.0,315.7258940018437,156.6986990001169,724.4907339991187,210983.5
1637256116,9,,Aggregated,1.333333,0.000000,190,210,230,270,420,720,720,720,720,720,720,18,0,180.0,210.11474705624602,45.200683001894504,724.4907339991187,116931.11111111111
1637256117,10,GET,facebook,0.375000,0.000000,230,230,230,230,230,230,230,230,230,230,230,4,0,190.0,205.76436825103883,178.84301900630817,227.0823209983064,81841.5
1637256117,10,GET,google,0.375000,0.000000,74,79,82,82,83,83,83,83,83,83,83,7,0,74,68.0260701420983,42.981669001164846,83.00952999707079,14917.285714285714
1637256117,10,GET,microsoft,0.875000,0.000000,210,370,370,420,720,720,720,720,720,720,720,10,0,210.0,305.67761750135105,156.6986990001169,724.4907339991187,210720.6
1637256117,10,,Aggregated,1.625000,0.000000,180,210,230,270,370,420,720,720,720,720,720,21,0,180.0,207.42933995296923,42.981669001164846,724.4907339991187,120904.42857142857
1637256118,10,GET,facebook,0.375000,0.000000,230,230,230,230,230,230,230,230,230,230,230,4,0,190.0,205.76436825103883,178.84301900630817,227.0823209983064,81841.5
1637256118,10,GET,google,0.375000,0.000000,74,79,82,82,83,83,83,83,83,83,83,8,0,72,68.50936750015535,42.981669001164846,83.00952999707079,14923.375
1637256118,10,GET,microsoft,0.875000,0.000000,220,370,370,420,720,720,720,720,720,720,720,11,0,220.0,298.1135970013301,156.6986990001169,724.4907339991187,210710.0909090909
1637256118,10,,Aggregated,1.625000,0.000000,190,220,230,270,370,420,720,720,720,720,720,23,0,180.0,202.19052087043605,42.981669001164846,724.4907339991187,120198.43478260869
1637256119,10,GET,facebook,0.444444,0.000000,230,230,230,230,230,230,230,230,230,230,230,4,0,190.0,205.76436825103883,178.84301900630817,227.0823209983064,81841.5
1637256119,10,GET,google,0.666667,0.000000,72,74,79,79,82,82,82,82,82,82,82,9,0,72,66.20659322248281,42.981669001164846,83.00952999707079,14919.777777777777
1637256119,10,GET,microsoft,0.888889,0.000000,220,370,370,420,720,720,720,720,720,720,720,11,0,220.0,298.1135970013301,156.6986990001169,724.4907339991187,210710.0909090909
